

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines

000.005  000.005: --- NVIM STARTING ---
000.066  000.061: event init
000.117  000.051: early init
000.152  000.035: locale set
000.175  000.022: init first window
000.351  000.176: inits 1
000.356  000.006: window checked
000.359  000.003: parsing arguments
000.657  000.050  000.050: require('vim.shared')
000.734  000.026  000.026: require('vim._meta')
000.736  000.076  000.050: require('vim._editor')
000.737  000.149  000.023: require('vim._init_packages')
000.738  000.231: init lua interpreter
000.761  000.022: expanding arguments
000.788  000.028: inits 2
000.960  000.171: init highlight
000.960  000.001: waiting for UI
001.423  000.463: done waiting for UI
001.433  000.009: init screen for UI
001.518  000.086: init default mappings
001.526  000.007: init default autocommands
002.303  000.036  000.036: sourcing /usr/share/nvim/runtime/ftplugin.vim
002.440  000.020  000.020: sourcing /usr/share/nvim/runtime/indent.vim
002.481  000.007  000.007: sourcing /usr/share/nvim/archlinux.vim
002.483  000.019  000.012: sourcing /etc/xdg/nvim/sysinit.vim
003.264  000.743  000.743: require('j0rdi.options')
003.386  000.043  000.043: require('j0rdi.utils')
003.395  000.005  000.005: require('vim.keymap')
004.395  000.004  000.004: require('vim.F')
004.428  001.017  001.013: require('vim.diagnostic')
005.366  002.099  001.034: require('j0rdi.mappings')
006.256  000.196  000.196: require('packer.util')
006.297  000.806  000.610: require('packer')
006.914  000.217  000.217: require('packer.log')
006.917  000.361  000.144: require('packer.async')
007.263  000.125  000.125: require('packer.result')
007.265  000.347  000.221: require('packer.jobs')
007.272  000.961  000.253: require('packer.plugin_utils')
007.482  000.204  000.204: require('packer.snapshot')
007.709  002.341  000.370: require('j0rdi.plugins')
008.381  000.319  000.319: require('tokyonight.treesitter')
008.387  000.519  000.200: require('tokyonight.util')
009.080  000.154  000.154: require('tokyonight.colors')
009.083  000.695  000.540: require('tokyonight.theme')
009.217  000.134  000.134: require('tokyonight.config')
009.220  001.470  000.122: require('tokyonight')
010.412  000.112  000.112: require('vim.treesitter.language')
010.418  000.432  000.319: require('vim.treesitter.query')
010.699  000.279  000.279: require('vim.treesitter.languagetree')
010.720  000.955  000.245: require('vim.treesitter')
010.938  000.216  000.216: require('vim.treesitter.highlighter')
011.711  002.098  000.927: sourcing /home/j0rdi/.local/share/nvim/site/pack/packer/start/tokyonight.nvim/colors/tokyonight.lua
011.717  004.006  000.438: require('j0rdi.colorscheme')
011.991  000.080  000.080: require('mason-core.path')
011.998  000.165  000.085: require('mason.settings')
012.386  000.185  000.185: require('mason-core.functional')
012.583  000.065  000.065: require('mason-core.functional.data')
012.589  000.193  000.128: require('mason-core.functional.function')
012.673  000.074  000.074: require('mason-core.functional.relation')
012.761  000.082  000.082: require('mason-core.functional.logic')
012.775  000.775  000.241: require('mason-core.platform')
012.777  001.018  000.078: require('mason')
013.102  000.177  000.177: require('mason-core.log')
013.105  000.327  000.150: require('mason-lspconfig')
013.188  000.081  000.081: require('neodev')
013.273  000.083  000.083: require('neodev.config')
013.490  000.097  000.097: require('neodev.util')
013.493  000.213  000.116: require('neodev.lsp')
015.633  000.183  000.183: require('vim.lsp.log')
016.213  000.577  000.577: require('vim.lsp.protocol')
017.393  000.297  000.297: require('vim.lsp._snippet')
017.559  000.163  000.163: require('vim.highlight')
017.571  001.355  000.895: require('vim.lsp.util')
017.580  002.467  000.352: require('vim.lsp.handlers')
017.993  000.411  000.411: require('vim.lsp.rpc')
018.218  000.223  000.223: require('vim.lsp.sync')
018.703  000.482  000.482: require('vim.lsp.buf')
018.897  000.192  000.192: require('vim.lsp.diagnostic')
019.141  000.227  000.227: require('vim.lsp.codelens')
019.199  005.341  001.339: require('vim.lsp')
019.257  005.763  000.422: require('lspconfig.util')
019.662  000.093  000.093: require('cmp_nvim_lsp.source')
019.665  000.190  000.096: require('cmp_nvim_lsp')
019.704  000.271  000.082: require('j0rdi.lsp.setup')
020.127  000.161  000.161: require('mason-core.functional.list')
020.140  000.333  000.172: require('mason.api.command')
020.230  000.064  000.064: require('mason-lspconfig.settings')
020.338  000.100  000.100: require('mason-lspconfig.lspconfig_hook')
020.538  000.091  000.091: require('mason-core.functional.table')
020.575  000.234  000.143: require('mason-lspconfig.mappings.server')
020.975  000.162  000.162: require('mason-core.async')
021.040  000.062  000.062: require('mason-core.async.uv')
021.048  000.353  000.129: require('mason-core.fs')
021.151  000.102  000.102: require('mason-core.optional')
021.244  000.091  000.091: require('mason-core.EventEmitter')
021.442  000.196  000.196: require('mason-registry.index')
021.460  000.883  000.141: require('mason-registry')
021.517  000.055  000.055: require('mason-lspconfig.server_config_extensions')
021.760  000.242  000.242: require('lspconfig.configs')
021.879  000.117  000.117: require('lspconfig.server_configurations.omnisharp')
022.113  000.057  000.057: require('mason-core.notify')
022.116  000.141  000.085: require('mason-lspconfig.ensure_installed')
022.594  000.138  000.138: require('mason-core.result')
023.179  000.224  000.224: require('mason-core.process')
023.293  000.474  000.250: require('mason-core.spawn')
023.439  000.144  000.144: require('mason-core.receipt')
023.575  000.128  000.128: require('mason-core.functional.string')
023.590  000.994  000.248: require('mason-core.installer.context')
023.694  000.102  000.102: require('mason-core.installer.linker')
023.786  000.091  000.091: require('mason-core.async.control')
023.790  001.506  000.181: require('mason-core.installer')
023.965  000.173  000.173: require('mason-core.installer.handle')
024.531  000.111  000.111: require('mason-core.managers.powershell')
024.534  000.237  000.126: require('mason-core.fetch')
024.560  000.322  000.086: require('mason-core.managers.cargo.client')
024.905  000.165  000.165: require('mason-core.managers.std')
025.180  000.116  000.116: require('mason-core.providers')
025.195  000.288  000.172: require('mason-core.managers.github.client')
025.208  000.647  000.193: require('mason-core.managers.github')
025.270  001.204  000.235: require('mason-core.managers.cargo')
025.488  000.217  000.217: require('mason-core.managers.composer')
025.761  000.271  000.271: require('mason-core.managers.gem')
025.886  000.122  000.122: require('mason-core.managers.git')
026.034  000.146  000.146: require('mason-core.managers.go')
026.167  000.130  000.130: require('mason-core.managers.luarocks')
026.300  000.131  000.131: require('mason-core.managers.npm')
026.463  000.161  000.161: require('mason-core.managers.pip3')
026.467  002.499  000.117: require('mason-core.package.version-check')
026.471  004.354  000.175: require('mason-core.package')
026.595  000.114  000.114: require('mason-registry.json-lsp')
026.723  000.088  000.088: require('mason-registry.lua-language-server')
026.795  000.064  000.064: require('mason-registry.pyright')
026.893  000.066  000.066: require('mason-registry.typescript-language-server')
027.099  000.067  000.067: require('mason-core.functional.number')
027.112  000.216  000.149: require('mason-lspconfig.api.command')
027.249  000.095  000.095: require('lspconfig')
027.334  000.082  000.082: require('lspconfig.server_configurations.jsonls')
027.733  000.090  000.090: require('lspconfig.server_configurations.tsserver')
028.194  000.098  000.098: require('lspconfig.server_configurations.sumneko_lua')
028.601  000.094  000.094: require('lspconfig.server_configurations.pyright')
029.288  000.139  000.139: require('fidget.log')
029.295  000.423  000.284: require('fidget')
029.397  000.096  000.096: require('fidget.spinners')
029.829  000.176  000.176: require('null-ls.utils')
029.875  000.326  000.151: require('null-ls.config')
030.009  000.066  000.066: require('null-ls.helpers.cache')
030.157  000.147  000.147: require('null-ls.helpers.diagnostics')
030.222  000.063  000.063: require('null-ls.helpers.formatter_factory')
030.514  000.088  000.088: require('null-ls.logger')
030.611  000.095  000.095: require('null-ls.state')
030.614  000.390  000.207: require('null-ls.helpers.generator_factory')
030.818  000.098  000.098: require('null-ls.helpers.command_resolver')
030.820  000.205  000.107: require('null-ls.helpers.make_builtin')
030.905  000.083  000.083: require('null-ls.helpers.range_formatting_args_factory')
030.907  001.029  000.076: require('null-ls.helpers')
031.395  000.138  000.138: require('null-ls.methods')
031.400  000.292  000.154: require('null-ls.diagnostics')
031.404  000.496  000.205: require('null-ls.sources')
031.486  000.080  000.080: require('null-ls.builtins')
031.488  002.027  000.095: require('null-ls')
031.591  000.101  000.101: require('null-ls.builtins.formatting.prettier')
031.704  000.078  000.078: require('null-ls.builtins.formatting.autopep8')
031.781  000.074  000.074: require('null-ls.builtins.formatting.stylua')
031.852  000.069  000.069: require('null-ls.builtins.formatting.shfmt')
031.954  000.099  000.099: require('null-ls.builtins.diagnostics.shellcheck')
032.417  000.183  000.183: require('null-ls.client')
032.435  003.017  000.386: require('j0rdi.lsp.null-ls')
032.437  020.718  001.896: require('j0rdi.lsp')
032.485  000.027  000.027: require('j0rdi.lib.globals')
033.405  000.208  000.208: require('plenary.bit')
033.520  000.112  000.112: require('plenary.functional')
033.542  000.012  000.012: require('ffi')
033.551  000.825  000.493: require('plenary.path')
034.384  001.825  000.999: require('plenary.filetype')
034.445  000.059  000.059: require('j0rdi.lib.helpers')
034.828  000.381  000.381: require('plenary.job')
034.835  002.348  000.084: require('j0rdi.lib.autorun.Run')
